Branch,Gender,MCA Aggregate Percentage,MCA Aggregate CGPA,CURRENT ARREARS,HISTORY OF ARREARS,Under Graduation %,Under Graduation CGPA,12th %,12th CGPA,10th %,10th CGPA,Placement_Status
ME,M,0,0,0,0,72.75,7.65,86.9,8.69,70.8,7.4,0
ME,M,0,0,0,0,77.25,8.1,97,9.7,93.1,9.31,1
ME,M,0,0,0,4,65.85,6.96,87,8.7,93.1,9.31,0
ME,M,0,0,0,0,75.25,7.9,83,8.3,86,8.6,1
ME,M,0,0,0,3,70.75,7.45,84.8,8.48,85.5,8.55,0
ME,M,0,0,0,0,73.25,7.7,66.6,6.66,93.1,9.8,0
ME-AUE,M,0,0,0,2,66.25,7,80,8,93,9.3,1
ME-AUE,M,0,0,1,5,63.25,6.7,76,7.6,81,8.1,0
EEE,F,0,0,0,0,83.25,8.7,92.58,9.26,87.66,8.77,0
EEE,F,0,0,0,0,86.15,8.99,94,9.4,89,8.9,0
ME,M,0,0,0,0,81.95,8.57,9.6,0.96,96,9.6,1
EEE,F,0,0,0,0,84.25,8.8,92.33,9.23,96,9.6,1
EEE,F,0,0,0,0,71.25,7.5,94.58,9.46,94,9.4,0
EEE,M,0,0,0,1,71.25,7.5,74,7.4,94,9.4,1
EEE,M,0,0,2,5,63.25,6.7,81,8.1,72,7.2,0
EEE,M,0,0,2,5,64.25,6.8,75.4,7.54,74,7.4,1
EEE,M,0,0,0,0,73.25,7.7,79.8,7.98,82,8.2,1
ECE,F,0,0,0,0,88.25,9.2,89.8,8.98,94,9.4,0
EEE,F,0,0,1,1,66.25,7,80,8,75,7.5,0
ME,M,0,0,0,0,82.25,8.6,91.36,9.14,88,8.8,1
CSE,M,0,0,5,9,58.25,6.2,77,7.7,82,8.2,0
CSE,M,0,0,2,9,63.25,6.7,89,8.9,98,9.8,0
CSE,M,0,0,10,15,47.25,5.1,82,8.2,80,8,0
CSE,M,0,0,2,7,55.85,5.96,85,8.5,90,9,1
EEE,F,0,0,0,1,73.15,7.69,76,7.6,89.3,8.93,1
CSE,M,0,0,3,11,57.25,6.1,76,7.6,76,7.6,0
CSE,M,0,0,0,9,55.25,5.9,71.2,7.12,96,9.6,0
EEE,F,0,0,0,0,84.75,8.85,92.25,9.23,93.5,9.84,0
EEE,F,0,0,0,3,63.85,6.76,67.4,6.74,87.4,9.2,1
EEE,M,0,0,0,9,65.45,6.92,66,6.6,88,8.8,0
M.Tech CSE,F,0,0,0,0,0,0,0,0,0,0,1
ECE,M,0,0,6,9,51.2,5.5,65.2,6.52,79.8,8.4,0
